cellID,abs_X,abs_Y,nucleusArea,cytoplasmArea,total_count
17817,-310.3271834625324,570.0813436692509,178.15412160000002,267.111936,387.0
17819,-298.68976989815195,509.32059222934816,283.04325504,1513.33221312,2651.0
17821,-289.53965738758023,555.3055674518199,196.08878016,362.65215168000003,467.0
17822,-273.49587923025905,536.4391639017916,257.8107168,1076.27030784,1507.0
17823,-268.42208333333315,568.9496458333335,206.96405184000002,765.2756966400001,960.0
17828,-243.8234488541088,511.9942425936277,270.83242368000003,1134.3194553600001,1789.0
17830,-240.94440199335534,562.5414617940212,264.05922816000003,1374.2909107200003,1806.0
17831,-235.40280645161275,591.1504516129033,350.77521024000004,650.08367424,620.0
17834,-214.2304042179261,571.5249824253073,203.10046848000002,812.5449696000001,1138.0
17836,-214.9439557739558,519.8891154791161,236.48946048,902.1705638400001,1221.0
