,gene,fdr,counts
692,R3hdm1,0.0009007191577038988,7
693,Syt11,0.002815236640518952,7
694,Itm2c,0.0056864102321961575,6
695,Ogdh,0.006185868057209829,7
696,Aldoa,5.690967151464034e-05,8
697,Cst3,6.136194908617834e-05,10
698,Rps14,0.0038040703274205712,6
699,Eif1,0.0009834387351775687,8
700,Sirpa,0.0035133310329169315,9
701,Kcnh3,3.9452697185716135e-05,6
702,Psat1,8.781047321852292e-05,6
703,S100b,0.0005563445847300756,11
704,Lmo4,0.001866287157901163,7
705,D3Bwg0562e,0.0004168389988586451,10
706,Camk1d,6.938487903958549e-05,7
707,Cspg5,0.0012665748294989321,9
708,Gsn,0.00016985621913752794,6
709,Rad21,0.002855943603033219,6
710,Frmd7,0.0003243306791253502,8
711,Trio,0.0011269911914498988,6
712,Dclk2,0.0004956168680812982,6
713,Ppp1r9a,0.0027679981667187077,7
714,Dip2c,0.0035710783313373743,6
715,Marcksl1,0.003792850918916708,7
716,Rab40b,2.30185797730493e-05,7
717,Cxx1b,0.0009387697658416813,6
718,Mlc1,0.000761538693900819,7
719,Sept7,0.006430330371704886,6
720,Nedd8,0.0030015981475748736,6
721,Purb,0.0006957094037823351,6
722,Pja2,0.0014056850679750321,8
723,Prex2,0.002656857808422779,6
724,Sybu,0.0007307209563954237,6
725,Mir682,0.0006363878143188367,7
726,Pkm,0.00578726688751987,7
727,Tomm70a,0.007096172176207842,6
728,Zeb2,0.001568680830483915,6
729,Rps23,0.0021318007389470755,6
730,Uba52,0.004086303735297411,7
731,Lin7c,0.0058882078004817,6
732,Ampd2,0.00029819441990993814,7
733,Actb,0.005369753029324418,7
734,Tcf4,0.014609211997958216,6
735,Ctsd,0.0005577525782262791,7
736,Gpr37l1,0.0003915463013479586,8
737,Edil3,0.00015511660418655458,6
738,Gm5506,0.0015243710539419402,6
739,Iqsec3,0.00034189373953053085,9
740,Kcnc1,0.0011534460027620948,7
741,Elovl5,0.000290870674000963,7
742,Metrn,2.392727628335063e-05,6
743,Gria1,0.002085736573528075,6
744,Gpx4,0.0022050121311854927,7
745,Snca,0.0029748445917466425,6
746,Cck,2.0673482626822936e-06,9
747,Vstm2a,0.0002287498186756412,7
748,Mt3,7.612743692979086e-05,6
749,Slc7a11,0.0008351502413421588,6
750,Junb,0.000300351827109792,6
751,Slc20a1,6.276361456191259e-05,6
752,Phgdh,0.0012791905518057805,6
753,Atp6v0a1,0.001960426251403584,6
754,Rps10,0.0056530606315106854,6
755,Peg13,0.0028322006188648483,6
756,Ednrb,0.0004552408687374934,6
757,Thy1,0.00334750124773563,6
758,Nmb,5.66486558080067e-05,6
