,gene,fdr,counts
150,Lrrc58,9.933164058877464e-05,11
151,Abr,0.0009736415240603693,9
152,Atp6v1e1,0.0008785318036160298,10
153,Slc22a17,0.0011745393897059663,7
154,Tspan7,0.0005078452382612784,7
155,Nme1,2.8312451583321558e-05,9
156,Ypel5,0.00019490004734931592,11
157,Abi2,0.0002167510307271399,6
158,Ssb,0.0005667932982348202,7
159,Nudt4,0.00014042050232884463,10
160,Tmsb4x,0.001015370645217591,9
161,Nrxn1,0.0024725103774908327,7
162,Fbxw7,0.0008530224741478034,7
163,Ppp1r16b,0.0021677654152753084,8
164,Fabp7,9.993420955861316e-07,12
165,Hadhb,0.002097550463393987,9
166,Ahcyl2,0.00011482345874795684,12
167,Rplp2,0.0026739031063791104,7
168,Tubb2a,0.0002851698563574706,10
169,Dynll2,0.0002568998373522684,7
170,Tpt1,9.223805091262868e-05,9
171,Vcp,0.002980493350604553,7
172,Atp1a2,1.5348981568628528e-05,11
173,Prkca,1.0382301954055521e-05,12
174,Map2k1,6.099491905457545e-06,12
175,Cdk5r2,0.0026221394115332666,6
176,Sept3,0.0009007191577038988,8
177,Fam63b,0.0024832908180401144,7
178,Mapk1,1.8727286965056344e-05,12
179,Ptpro,0.00011487421054435037,12
180,Cacnb3,0.00033753465065770226,11
181,Rcan2,0.00011824621795626365,9
182,Ndrg4,0.0006372329420091762,11
183,Amph,0.0033169694183017486,9
184,Rap1gds1,0.0016292512782098165,11
185,Gda,1.3732699038638987e-05,12
186,Scamp1,0.0012318045653879582,10
187,Msi2,5.790741560246174e-05,11
188,Prkce,0.0004907516738272485,10
189,Mllt11,0.0006356417953028851,9
190,Dpysl2,0.0056864102321961575,7
191,Eml5,0.0001377866652615417,10
192,Grb2,1.48277213995346e-05,12
193,Cdhr1,5.0723290757303595e-06,11
194,Pabpc1,0.0011191094095039397,6
195,Khdrbs1,0.00025506187683707566,10
196,Hnrnph1,0.003020611384124087,9
197,Rbm39,0.0014748701431027162,7
198,Qk,0.00013445770349233764,10
199,Slc6a11,8.291696496437997e-06,12
200,Nrxn2,0.0005596180399301581,12
201,Ap2m1,0.0007939413508816466,10
202,Gm5643,0.001233507051710742,8
203,Celf3,9.259734126283812e-05,6
204,Limd2,6.938487903958549e-05,11
205,Kcnj10,1.4730040962923928e-05,12
206,Hnrnpc,0.004059293590190734,7
207,Nsg1,0.0012614941670864939,8
208,Fth1,0.0015838379799656653,9
209,Agap2,2.4700550516809463e-06,12
210,Atp1b1,0.0004785135822230211,12
211,Srsf1,0.0008460604360761442,7
212,Rasl10b,0.0007793519236617026,8
213,Acsbg1,0.0001229766849318145,9
214,Ociad1,0.00283209922684768,8
215,Ppp2r1a,0.001056831498986228,10
216,Fnbp1l,0.003184662713965313,6
217,Sh3gl2,0.00044334424674271434,12
218,Kcnb1,0.0005389220711531896,7
219,Prdx6,0.0002205529739994205,12
220,Kcnd2,0.00011870590247869255,12
221,Ppp1cb,0.0011443007889762964,6
222,Sirt2,0.004738528380819891,6
223,Slc6a1,5.570732743683294e-07,11
224,Ppap2b,0.005181031823971255,8
225,Cxx1c,0.0022092269047439034,10
226,Arrb1,9.320316499842766e-05,9
227,Stxbp1,9.933164058877464e-05,11
228,Ndufv2,0.004874178628993898,7
229,Strbp,0.0009223279622378133,9
230,Rragd,3.8073057847638544e-05,12
231,Sort1,0.0007651680143919888,6
232,Lsm14b,0.0001502636011856775,7
233,Pip5k1c,0.002049461525111745,9
234,Rcn2,0.00017744957349536468,10
235,Atp5l,0.0007370300654401702,6
236,Serpine2,3.9452697185716135e-05,12
237,Rnf187,0.0011953217800835716,7
238,Ube2e3,0.0009998231890897488,10
239,H3f3a,0.002807589940795221,8
240,Ckb,0.005486605156871749,7
241,Penk,5.669371281236186e-08,12
242,Cplx1,0.0004287810445654272,9
