"","AFAP1","AFF4","AGAP1","AGO3","AGPS","AHDC1","AKAP11","ALPK2","AMOTL1","ANKH","ANKRD52","ARL10","ASCC3","BRCA2","BSN","BUB3","Blank.1","Blank.10","Blank.2","Blank.3","Blank.4","Blank.5","Blank.6","Blank.7","Blank.8","Blank.9","C14orf132","C17orf51","CBL","CBX5","CCDC113","CDYL2","CEMIP","CENPF","CEP250","CHST3","CKAP5","CNR2","COL5A1","CREBBP","CRTAP","DIEXF","DIP2B","DNAJC13","DOPEY1","DSEL","DYNC1H1","EGFR","FAF2","FAM184B","FAM208B","FASN","FBN1","FBN2","FYCO1","FZD4","FZD5","GPR107","GTF3C4","HEATR5B","HERC2","IGF2R","IL17RA","ITPR2","KIAA1147","KIAA1462","KIF13B","KLHL9","KPNA4","LMTK2","LRP1","LUZP1","MALAT1","MAN1A2","MCF2L","MED14","MYH10","NHSL2","NKTR","NOTCH2","NRIP1","PAPPA","PHIP","PIK3CA","PLXNA1","PLXNA2","POLQ","PRDM2","PRKCA","PRKDC","PROSER1","PRPF8","PRRC2B","PTPN14","RAB3B","RAD51D","RBM20","RNF152","RNF169","RP4.671O14.6","SAMD12","SCUBE3","SIPA1L3","SKP1","SLC35B4","SLC38A1","SLC5A3","SLC7A11","SLC9A2","SMARCA5","SMIM5","SOD2","SPTBN1","SRRM2","SSH1","STARD9","SULT1C2","THBS1","THSD4","TLN1","TMOD2","TNRC6A","TPR","TSPAN3","TSTD2","TTPAL","UBR2","UBR5","UMPS","USP24","USP34","USP8","USP9X","VPS13D","XDH","XKR5","YIPF4","ZBTB43","ZCCHC6","ZNF592"
"485.505255520505 x -103.467249211356",19,21,11,8,9,18,11,7,11,6,12,3,16,4,5,8,5,7,1,3,1,9,12,6,4,5,6,4,11,28,10,5,7,18,6,17,17,4,23,23,12,12,12,6,3,6,29,4,8,6,15,34,4,19,7,14,11,10,7,7,15,6,12,4,9,5,13,4,7,10,14,12,60,6,6,12,20,5,10,11,7,5,8,5,16,5,8,9,21,33,7,17,14,9,4,6,8,6,12,6,7,3,9,8,5,7,13,6,0,23,6,10,20,36,9,6,4,90,4,33,11,17,16,3,7,17,7,15,6,13,26,4,17,10,3,5,3,6,10,16
"495.467841924399 x -244.094261168385",21,7,5,1,13,7,6,6,13,1,13,6,7,1,2,11,4,3,1,4,4,5,7,1,2,4,6,6,7,26,5,6,6,76,9,9,39,7,14,27,2,7,14,13,1,7,10,6,15,3,13,41,2,12,5,13,8,8,17,5,10,5,9,3,9,5,9,3,6,18,9,3,78,8,1,14,18,8,8,7,7,5,4,2,21,3,4,6,7,39,10,16,9,11,4,3,1,4,5,2,4,4,5,4,4,9,5,3,2,14,3,2,48,42,4,7,0,98,4,39,3,7,17,1,7,14,2,11,7,6,17,4,15,1,7,9,8,2,7,15
"502.382270058708 x -269.540792563601",2,7,6,5,13,6,6,4,9,4,12,2,4,3,1,3,3,4,1,1,3,0,4,1,3,2,2,5,7,13,5,10,6,30,5,10,16,7,14,10,9,2,5,5,2,3,12,6,8,9,6,27,3,22,6,9,6,7,5,5,10,3,2,3,5,5,7,5,5,8,6,6,27,3,1,6,8,2,4,14,4,5,3,5,8,5,5,6,6,26,2,18,6,7,5,6,3,3,10,3,2,7,5,2,3,5,8,8,5,23,8,6,43,39,6,2,9,12,3,29,2,13,9,3,6,7,2,11,6,5,7,3,10,6,3,2,4,3,10,13
"497.060463917526 x -188.469007731959",1,6,5,2,5,7,8,3,2,0,8,1,4,1,2,2,4,0,1,2,2,1,6,1,2,1,4,3,5,13,2,7,2,28,2,11,12,6,10,12,7,5,10,7,1,3,14,2,2,1,2,18,4,12,3,7,3,7,7,6,15,2,2,5,4,7,7,1,2,6,2,5,36,3,0,2,9,8,2,1,3,1,2,3,4,1,4,4,9,14,8,18,9,6,3,5,1,4,4,1,3,2,1,0,1,4,7,1,2,12,2,1,24,20,4,2,1,28,2,16,3,4,11,0,3,8,2,6,2,6,15,2,12,8,5,1,4,1,3,9
"501.381087984863 x -215.169271523179",4,12,8,6,7,5,7,2,13,1,9,7,4,6,3,6,8,5,3,2,1,4,4,4,2,2,9,7,8,7,6,8,9,5,5,10,8,7,18,8,14,4,14,9,2,1,15,5,2,6,9,13,7,21,6,5,5,11,5,4,6,7,4,5,7,8,4,4,3,12,11,9,100,7,2,6,12,3,7,4,8,6,2,4,3,1,4,16,8,14,6,20,16,12,4,2,1,2,4,5,5,2,6,5,6,2,13,4,5,22,5,5,24,18,6,5,2,4,3,17,2,7,9,7,5,5,2,10,3,4,15,1,18,2,8,1,8,6,8,10
"506.746948529412 x -102.72827757353",8,11,15,6,7,7,14,6,12,3,9,3,5,3,1,7,5,5,8,5,3,4,9,1,0,4,13,3,7,12,5,11,4,5,5,5,7,10,22,21,3,5,14,2,1,5,16,2,7,5,11,19,11,13,5,7,4,12,8,4,14,7,8,12,11,8,5,4,5,9,15,10,78,2,1,4,15,5,9,10,3,7,2,4,14,0,5,12,24,17,7,10,5,11,1,4,6,8,4,7,0,7,4,6,1,1,0,3,3,7,3,8,14,26,6,6,3,9,5,20,2,3,9,1,9,12,0,8,4,5,21,3,17,2,6,5,9,5,3,4
"504.493224568138 x -161.107370441459",7,6,8,5,11,7,7,2,8,3,16,3,3,4,5,3,1,1,2,0,0,5,3,5,4,4,3,5,3,14,5,7,2,7,0,10,4,7,22,21,13,4,15,2,0,3,13,1,3,6,12,36,12,16,5,4,5,7,8,8,9,6,5,2,6,4,3,6,3,8,11,7,59,6,5,8,15,5,6,5,2,1,8,3,8,1,6,10,13,24,4,17,6,13,4,9,4,8,5,2,2,2,6,4,3,3,9,5,1,7,4,4,22,28,8,5,1,37,3,30,8,5,8,3,4,9,3,14,1,5,10,5,10,4,4,6,5,6,6,9
"516.192868988391 x -185.960431177446",4,2,1,3,3,6,7,2,4,1,6,0,3,1,0,1,1,0,1,0,3,3,3,1,1,2,5,2,4,4,2,5,0,2,3,5,7,2,8,10,1,4,6,1,1,1,4,3,3,1,3,34,1,8,2,10,1,3,4,2,4,4,3,2,2,2,2,5,3,3,6,1,42,2,3,4,8,1,5,2,2,6,0,2,7,2,1,5,8,14,1,11,4,2,2,1,1,2,1,2,3,1,3,4,3,1,0,2,0,3,3,2,6,17,8,7,0,65,4,13,2,5,4,4,2,6,1,6,2,6,8,2,6,1,2,0,3,2,3,4
"522.706025641025 x -239.911143162393",7,12,9,1,7,7,4,4,12,1,7,0,9,1,3,8,2,4,1,4,3,2,5,3,4,3,5,1,6,14,6,3,7,7,3,6,4,8,17,16,5,2,14,5,2,3,9,4,3,6,6,35,0,6,5,5,4,11,9,11,6,8,9,4,5,4,7,10,2,5,4,5,56,5,2,10,12,4,8,3,3,3,5,2,7,4,3,13,15,21,2,15,8,10,5,5,4,1,3,4,1,2,4,0,6,1,5,6,2,12,10,4,12,23,4,5,3,43,2,16,4,12,6,4,4,3,5,7,1,7,7,1,8,2,10,3,1,4,6,7
"526.613751651256 x -137.010601056803",10,16,11,5,14,8,10,7,13,4,23,1,9,7,3,10,6,4,3,2,6,3,2,6,5,3,9,5,13,20,4,12,4,44,5,16,26,10,9,30,12,3,20,6,9,10,16,2,11,8,7,21,7,19,4,10,8,6,5,4,15,5,14,6,9,11,9,11,3,11,7,4,71,6,5,12,22,5,4,10,10,7,5,10,11,5,9,7,5,33,10,32,10,14,7,3,2,6,8,1,4,10,7,3,11,2,15,7,3,10,9,2,20,42,7,4,3,112,4,32,5,13,8,1,12,16,5,15,2,10,23,3,19,3,9,3,7,4,11,17
"529.931790540541 x -285.468344594595",18,22,14,9,14,19,13,9,45,4,23,8,6,5,10,9,5,10,1,8,2,4,9,14,4,2,6,11,15,13,12,10,9,4,5,23,9,10,12,20,10,13,18,3,5,5,24,12,5,8,15,32,5,18,8,13,11,14,8,11,23,6,11,9,3,2,6,13,7,8,12,14,67,10,9,4,22,14,9,10,9,10,10,8,13,8,6,11,7,40,13,18,8,18,9,3,8,3,17,9,4,9,13,2,5,10,24,14,11,42,10,10,23,28,11,11,4,138,5,30,8,17,17,8,11,7,2,11,6,13,20,2,14,3,12,9,8,10,13,10
"550.785472854642 x -219.773577057793",10,25,21,12,16,18,16,5,19,7,22,3,11,4,4,7,6,3,3,4,3,6,15,11,10,8,9,9,15,9,12,16,13,10,9,26,13,12,24,25,16,8,34,12,6,6,26,10,9,18,11,44,7,22,9,21,10,19,29,15,19,10,9,9,17,9,4,17,11,12,13,14,145,12,4,12,31,8,16,11,12,12,6,5,17,6,3,30,19,44,12,35,20,24,6,12,5,5,15,7,4,12,12,9,6,18,70,13,5,24,16,12,42,65,15,16,6,91,9,45,9,16,16,10,19,23,6,22,12,14,34,6,24,14,16,16,9,11,18,18
