"","AFAP1","AFF4","AGAP1","AGO3","AGPS","AHDC1","AKAP11","ALPK2","AMOTL1","ANKH","ANKRD52","ARL10","ASCC3","BRCA2","BSN","BUB3","Blank.1","Blank.10","Blank.2","Blank.3","Blank.4","Blank.5","Blank.6","Blank.7","Blank.8","Blank.9","C14orf132","C17orf51","CBL","CBX5","CCDC113","CDYL2","CEMIP","CENPF","CEP250","CHST3","CKAP5","CNR2","COL5A1","CREBBP","CRTAP","DIEXF","DIP2B","DNAJC13","DOPEY1","DSEL","DYNC1H1","EGFR","FAF2","FAM184B","FAM208B","FASN","FBN1","FBN2","FYCO1","FZD4","FZD5","GPR107","GTF3C4","HEATR5B","HERC2","IGF2R","IL17RA","ITPR2","KIAA1147","KIAA1462","KIF13B","KLHL9","KPNA4","LMTK2","LRP1","LUZP1","MALAT1","MAN1A2","MCF2L","MED14","MYH10","NHSL2","NKTR","NOTCH2","NRIP1","PAPPA","PHIP","PIK3CA","PLXNA1","PLXNA2","POLQ","PRDM2","PRKCA","PRKDC","PROSER1","PRPF8","PRRC2B","PTPN14","RAB3B","RAD51D","RBM20","RNF152","RNF169","RP4.671O14.6","SAMD12","SCUBE3","SIPA1L3","SKP1","SLC35B4","SLC38A1","SLC5A3","SLC7A11","SLC9A2","SMARCA5","SMIM5","SOD2","SPTBN1","SRRM2","SSH1","STARD9","SULT1C2","THBS1","THSD4","TLN1","TMOD2","TNRC6A","TPR","TSPAN3","TSTD2","TTPAL","UBR2","UBR5","UMPS","USP24","USP34","USP8","USP9X","VPS13D","XDH","XKR5","YIPF4","ZBTB43","ZCCHC6","ZNF592"
"-251.574426919033 x -349.197255520505",10,12,7,5,5,6,6,8,11,3,11,2,9,1,2,6,2,2,3,4,4,4,2,3,2,5,2,1,4,10,3,9,4,3,5,8,7,6,12,17,3,3,7,7,5,4,18,3,4,4,6,12,3,14,3,6,8,11,7,4,8,3,7,6,2,3,7,10,6,10,15,5,100,5,2,3,10,3,8,6,5,7,4,4,9,0,0,11,8,16,3,20,12,7,0,2,6,5,4,3,0,7,9,2,3,4,4,4,1,4,3,7,12,27,6,7,3,6,2,13,5,3,7,2,4,7,1,15,5,6,12,2,16,2,5,6,4,4,11,7
"-240.036966426858 x -416.527026378897",5,13,9,1,7,9,9,1,7,2,10,3,1,2,2,3,4,2,1,2,0,7,2,2,3,4,16,4,7,7,3,5,2,1,0,2,2,3,7,12,3,6,9,6,4,1,13,7,6,3,3,9,3,20,3,4,6,5,2,4,8,9,7,0,4,5,3,5,0,10,7,3,51,8,1,4,8,10,7,11,6,2,4,7,6,3,2,11,6,10,7,7,8,7,9,5,5,2,2,1,2,8,1,5,3,2,6,4,5,12,3,3,27,27,3,6,0,30,2,13,9,3,5,5,4,4,2,13,3,4,10,2,7,1,6,6,4,2,7,5
"-219.815159128978 x -354.095175879397",19,18,15,6,7,8,7,7,14,3,9,4,3,2,1,1,2,4,0,1,2,5,3,7,3,3,9,9,10,17,4,5,8,14,2,18,14,2,18,19,7,4,8,2,4,8,22,5,4,6,7,25,6,10,5,9,9,7,7,3,10,7,5,6,4,4,3,9,5,11,15,8,67,6,1,6,20,10,3,8,9,5,4,8,7,3,2,13,1,27,12,22,11,9,2,9,4,4,7,2,3,4,3,3,3,4,17,4,2,12,6,3,33,27,4,7,1,49,2,37,1,5,8,6,4,9,5,12,1,8,19,4,14,8,6,7,4,1,7,11
"-220.5389 x -311.102669230769",11,28,14,16,19,11,16,8,25,8,34,14,29,13,9,10,4,7,8,3,7,7,8,9,10,11,16,8,13,30,4,12,12,52,11,21,45,14,20,31,16,25,20,22,6,8,40,18,16,12,13,50,15,34,17,18,17,19,16,11,31,10,17,10,13,13,16,16,17,19,17,17,137,18,10,23,43,11,10,15,7,12,21,9,22,7,10,20,35,63,10,50,28,11,13,14,11,16,20,12,9,10,11,9,7,11,10,16,4,24,5,7,54,38,11,8,7,62,9,92,4,18,29,11,12,13,12,32,5,22,25,8,38,13,6,9,10,5,20,29
"-222.697877984085 x -437.547082228116",9,3,16,5,1,9,10,3,6,1,16,5,4,2,1,5,5,2,4,6,3,4,5,4,2,4,4,5,10,23,3,2,3,73,5,11,38,13,9,21,6,6,8,4,3,2,10,6,4,6,9,24,3,17,1,9,11,8,11,6,10,3,2,1,3,3,4,3,7,10,4,6,86,7,3,7,15,3,5,12,3,2,3,3,13,3,8,12,6,15,10,9,8,3,5,5,7,3,11,3,2,5,5,4,2,3,9,6,4,10,5,1,42,29,6,4,2,9,3,21,4,9,9,4,8,8,4,8,1,8,11,3,15,2,4,1,4,4,7,10
"-216.817542372881 x -398.194098613251",11,20,6,7,8,16,5,9,19,8,12,2,8,9,4,11,2,8,1,6,1,5,8,4,4,4,5,2,7,8,5,10,7,5,5,20,10,8,15,19,2,6,6,2,3,2,15,5,5,8,16,15,5,15,3,5,7,10,9,5,10,10,5,7,4,2,7,11,3,7,9,7,166,14,3,9,14,3,6,8,5,5,5,4,14,2,1,13,8,25,10,22,15,12,2,9,6,5,4,2,1,4,4,4,4,5,4,3,5,12,6,9,25,33,6,11,4,23,2,27,4,10,12,11,6,4,2,15,2,8,15,2,16,11,6,4,7,9,13,7
"-216.397245508982 x -337.668413173653",3,8,3,3,2,3,3,2,4,1,5,1,0,0,2,1,1,0,0,2,0,2,1,0,0,2,2,2,5,3,0,3,0,4,2,0,3,5,3,7,0,2,1,1,1,0,3,1,1,2,6,3,2,6,2,4,2,4,5,0,2,2,4,1,4,0,0,0,0,4,2,1,34,2,2,0,2,2,3,4,1,1,1,0,0,0,0,1,3,5,1,3,5,2,3,2,0,3,3,0,2,1,0,2,2,2,4,2,0,2,1,1,4,8,4,8,1,8,2,6,1,1,1,2,3,2,3,4,2,0,5,0,3,0,1,1,2,1,2,3
"-196.837902046784 x -372.110160818714",13,11,15,5,9,14,6,9,18,4,18,1,8,2,2,0,4,6,5,3,2,4,5,6,2,4,13,5,10,20,3,2,4,20,10,24,20,3,16,27,8,5,3,3,8,12,15,9,9,4,8,18,7,27,3,12,6,11,7,2,7,9,3,8,4,5,11,6,4,10,14,19,76,11,5,8,25,9,8,6,10,9,6,7,19,5,9,11,9,27,7,19,19,10,8,10,8,6,6,10,1,7,5,1,4,7,6,10,2,12,3,8,38,28,2,7,3,35,5,30,2,4,13,3,7,5,4,10,4,5,11,5,26,7,7,9,6,6,11,16
"-195.400534246576 x -335.661698630137",2,12,5,4,4,6,6,4,12,1,6,3,2,5,0,1,1,3,2,0,3,4,4,1,0,2,9,6,4,7,2,10,1,13,4,9,8,2,7,9,10,2,9,3,5,5,15,3,8,1,1,15,5,12,2,11,2,4,3,4,7,3,1,2,6,3,2,4,1,9,8,6,39,6,2,6,6,7,6,10,3,2,3,2,9,2,4,9,7,12,5,5,6,4,1,4,2,3,1,8,0,4,3,0,2,3,5,5,2,7,3,2,9,8,3,4,6,23,4,21,1,4,6,1,4,3,4,6,5,6,13,2,9,2,1,3,1,1,4,10
"-200.714346701164 x -422.588615782665",7,10,6,7,5,14,2,3,5,4,9,5,3,5,0,7,2,3,3,3,2,1,4,3,1,3,4,3,5,11,0,3,2,3,7,13,5,3,8,7,3,3,6,2,2,2,16,3,5,0,2,8,3,13,1,7,3,7,4,6,10,4,4,2,6,3,6,3,8,9,12,5,71,4,3,6,8,5,4,9,4,6,2,1,8,2,1,4,3,13,5,12,9,5,1,5,1,3,6,5,0,3,4,4,3,5,7,1,2,5,3,4,11,15,5,2,6,24,1,19,2,4,7,4,2,4,3,6,1,6,7,0,7,4,4,2,4,4,4,9
"-184.908381877022 x -396.471650485437",10,7,10,2,1,12,3,6,10,2,5,1,8,4,2,7,1,4,2,3,3,3,3,1,1,2,10,4,4,9,1,5,5,1,5,11,8,8,28,8,5,5,10,5,3,5,13,6,4,6,5,11,2,14,3,12,2,6,6,1,6,8,4,12,5,4,3,7,7,4,12,13,98,8,2,4,16,4,10,5,4,4,3,1,12,7,2,8,2,9,4,6,6,6,0,6,3,5,3,2,5,5,1,2,2,3,3,4,0,13,2,4,28,10,2,7,5,25,7,14,5,4,3,2,3,7,1,7,3,3,11,5,18,7,4,6,4,6,6,11
"-183.094346712212 x -305.434081981212",12,13,12,6,6,5,11,3,15,6,2,6,1,6,4,6,2,4,7,5,6,3,5,4,2,6,9,7,8,20,3,4,3,7,5,10,12,2,13,22,10,8,17,4,3,4,29,4,10,3,15,27,10,15,8,23,6,4,6,2,3,6,3,10,6,2,6,3,7,9,13,11,88,10,3,0,9,17,8,11,4,7,9,1,13,6,8,6,12,16,6,12,10,12,4,4,3,9,8,12,3,4,4,1,2,3,3,8,1,10,10,5,22,10,12,5,9,28,10,15,2,6,10,2,4,5,1,6,2,8,10,4,20,2,2,10,5,4,11,14
"-178.180824427481 x -328.472274809161",3,3,6,5,1,8,1,2,9,3,5,0,4,3,2,4,2,2,2,0,1,0,5,1,1,3,10,5,5,8,5,3,2,4,1,6,4,1,9,8,4,1,6,3,2,4,6,1,3,3,1,10,6,11,2,7,2,3,5,1,2,7,3,2,3,1,3,3,3,7,5,5,45,5,2,3,3,5,7,5,9,5,5,5,3,3,6,3,5,11,5,5,9,7,1,2,2,5,3,9,1,3,1,0,2,4,5,5,1,8,4,4,11,7,8,0,1,32,4,7,3,4,3,4,2,7,5,9,2,6,6,5,11,6,5,8,1,3,4,3
"-176.459594790159 x -431.09505788712",6,20,7,5,6,12,8,6,18,9,11,2,11,8,4,5,2,4,3,2,3,3,5,4,2,2,9,9,11,12,8,6,7,15,10,12,15,5,17,19,12,6,12,8,4,4,16,2,6,5,8,27,8,28,9,18,9,9,6,7,15,11,4,6,2,8,9,4,8,13,15,13,56,13,5,12,24,5,8,16,14,7,7,5,11,8,14,10,5,31,8,14,14,14,7,13,4,5,4,9,5,5,4,2,6,5,12,10,1,18,1,6,29,18,8,6,10,44,4,42,1,10,16,7,7,12,4,12,3,6,14,4,13,6,10,8,3,5,7,20
"-173.098341288783 x -352.98477326969",5,13,11,6,6,8,3,7,16,0,9,2,3,7,4,1,0,0,0,1,1,1,3,3,1,2,12,4,8,10,2,7,3,6,5,6,5,5,6,11,4,6,8,2,1,3,12,2,5,3,3,12,2,11,3,8,2,6,6,4,4,7,4,6,4,3,12,10,3,5,3,13,42,8,4,5,9,5,4,11,6,3,8,4,4,2,5,5,1,11,4,14,13,7,2,2,4,3,5,4,1,5,1,0,5,2,8,4,5,8,0,3,18,17,6,5,2,30,6,19,3,7,10,6,9,8,0,8,1,3,11,3,13,5,3,4,2,4,9,9
"-161.278002008032 x -372.869558232932",8,6,17,4,1,5,10,6,11,1,1,9,7,6,3,7,1,1,5,1,3,5,3,5,1,3,8,5,5,14,1,5,3,3,8,11,8,4,19,15,12,4,15,11,1,5,15,1,7,4,5,4,3,13,3,11,3,8,4,4,10,8,5,4,6,4,10,3,2,9,11,9,89,8,5,7,14,6,4,7,10,3,4,2,11,2,5,7,6,8,5,12,17,22,1,2,4,3,9,3,4,0,3,3,7,6,4,8,1,11,2,7,13,21,7,4,4,4,4,24,5,9,9,2,8,5,2,10,3,10,15,2,10,5,5,6,3,8,7,6
"-151.821237373737 x -332.261043771043",7,15,23,5,2,12,10,9,16,7,8,8,5,3,10,4,0,5,6,2,3,6,4,2,0,5,10,8,7,6,1,10,2,4,6,9,6,3,11,17,11,6,9,7,4,4,18,12,13,6,8,12,3,20,4,14,4,15,9,4,7,5,4,11,5,4,2,5,1,15,8,13,62,12,6,6,13,9,8,7,7,10,6,8,16,10,7,9,9,23,7,17,9,14,6,7,5,6,14,5,1,4,4,4,4,3,6,11,1,17,1,10,30,9,9,5,9,17,8,22,6,7,12,6,7,8,5,8,5,8,16,6,16,4,6,8,3,6,8,10
"-153.138556119571 x -408.879221658206",9,10,26,6,10,13,14,7,25,5,16,2,9,7,6,2,1,3,1,4,2,5,3,5,2,6,10,4,10,41,3,12,5,63,14,16,37,12,24,32,11,5,14,12,11,6,30,11,9,9,5,10,7,21,6,18,7,12,18,10,13,8,6,5,6,8,12,9,7,17,25,21,101,10,6,9,31,8,8,20,9,5,8,5,18,11,10,19,5,57,8,25,26,10,7,13,5,4,10,6,6,4,6,3,5,7,7,7,0,15,6,9,50,42,11,8,6,19,6,47,4,12,14,4,14,7,0,10,8,8,20,8,23,7,9,12,7,9,14,14
"-139.315645371578 x -432.187131681877",3,4,7,1,4,8,3,2,8,3,9,1,2,5,5,3,0,3,4,3,3,7,5,0,1,3,6,4,6,19,0,2,2,25,5,5,16,5,2,15,3,2,6,4,2,2,7,1,4,1,1,8,1,6,5,4,5,3,8,3,5,3,3,6,4,7,3,3,1,8,4,4,101,6,3,10,3,3,2,8,2,2,3,0,4,1,6,5,6,19,1,6,7,10,5,2,2,1,7,4,2,3,1,5,4,1,3,4,2,8,3,5,22,16,5,2,5,4,3,8,3,3,9,1,5,1,2,9,2,7,9,1,8,11,7,5,2,4,3,4
"-133.951641791045 x -381.322718550107",5,9,12,9,2,12,4,9,12,4,6,5,10,0,2,1,0,4,1,0,1,8,1,2,2,0,10,6,7,13,6,3,3,2,4,4,6,2,15,7,4,3,10,11,4,3,9,10,8,5,6,14,4,15,4,10,2,12,5,2,10,6,4,6,4,4,7,5,3,10,9,13,70,4,4,6,9,9,9,9,7,3,2,2,5,6,4,12,5,19,5,13,10,15,2,7,3,1,8,7,4,4,3,3,2,3,7,4,6,16,4,7,21,18,2,5,4,7,6,24,3,12,6,4,3,5,2,2,3,3,13,2,10,5,2,9,1,3,8,5
"-127.625403659849 x -321.141776103337",7,15,14,2,6,9,7,6,12,4,5,2,7,5,5,3,2,1,3,4,5,6,2,5,2,1,10,4,7,7,0,4,3,7,5,5,6,4,7,17,8,0,15,10,2,1,14,3,9,2,11,10,6,16,3,13,5,7,9,3,5,7,6,3,3,2,3,5,5,9,8,22,59,6,5,4,15,12,4,12,2,1,10,4,12,3,4,11,6,11,4,9,7,7,4,4,1,5,10,6,1,5,2,4,2,5,12,2,1,7,8,9,10,12,4,9,6,0,3,14,4,11,5,1,1,8,3,8,6,7,16,4,14,5,5,4,1,4,7,10
"-118.366319714656 x -413.830337224383",9,13,19,4,5,12,8,12,25,4,9,6,6,7,6,4,2,3,3,6,2,10,7,2,1,1,5,8,14,17,5,10,7,29,7,24,29,4,7,25,6,2,15,8,7,3,23,8,8,6,7,33,6,15,6,14,9,12,12,6,8,2,4,6,8,10,8,7,6,16,13,17,98,9,3,9,22,14,9,17,7,7,12,4,16,9,9,14,11,37,6,28,10,12,10,6,8,7,4,10,2,3,8,3,5,6,12,14,1,15,8,11,45,36,10,4,4,4,7,54,5,11,17,3,11,9,5,14,4,8,7,5,19,8,6,12,6,16,13,15
"-128.982892635315 x -353.731960958296",1,11,10,4,7,6,6,11,9,4,7,5,7,9,6,4,3,5,4,1,2,6,8,6,0,5,6,5,4,5,4,14,5,3,4,12,13,6,17,16,10,5,11,5,2,2,11,6,9,4,7,13,7,19,5,10,4,4,9,2,7,5,6,4,4,7,9,9,5,8,15,17,66,7,8,7,7,9,9,8,8,7,8,5,11,0,2,6,8,27,10,18,16,8,5,4,5,5,14,3,0,6,1,2,2,4,11,9,4,19,8,11,18,18,9,3,5,23,5,28,4,11,6,5,5,7,2,10,2,5,12,3,20,8,5,9,3,11,6,14
"-114.106726795096 x -444.717057793345",0,2,7,0,4,6,7,3,14,3,8,1,4,4,4,3,2,1,3,0,0,2,2,4,1,1,2,2,2,7,0,3,2,14,1,4,6,4,1,10,5,5,6,5,0,3,5,3,1,0,2,3,4,1,1,0,0,4,5,2,8,1,1,1,0,3,6,0,4,3,1,3,30,3,3,5,9,7,3,2,1,5,5,2,3,1,1,6,8,22,3,17,9,3,2,3,6,3,0,3,1,2,0,1,1,6,3,2,0,13,1,4,8,26,2,5,5,1,2,15,3,7,6,2,4,2,3,6,4,6,11,2,9,1,2,3,0,4,0,3
"-102.396974084004 x -360.062743521",7,20,26,9,14,28,15,14,39,7,22,7,17,6,12,7,2,6,8,4,3,9,7,6,3,6,10,18,18,26,4,17,2,32,12,19,24,4,31,39,9,4,19,16,4,5,34,10,8,7,11,19,9,32,9,14,6,10,16,7,16,10,6,10,8,7,17,14,8,18,23,18,184,17,6,15,30,13,18,28,8,8,20,6,15,13,13,23,8,53,7,35,31,25,13,13,9,7,10,17,5,13,3,8,6,11,14,10,1,23,12,10,44,52,10,8,10,26,10,56,10,18,27,5,13,21,2,13,3,10,30,8,30,13,13,15,12,15,22,17
"-98.4982275132275 x -317.451544973545",7,13,10,1,5,5,3,6,13,2,4,3,4,3,1,5,0,4,5,4,0,3,3,5,1,3,16,8,4,13,4,8,2,4,6,4,10,8,10,16,8,3,9,5,2,1,14,2,3,6,7,21,5,12,12,13,5,5,4,6,10,8,1,4,6,5,7,7,6,6,13,8,47,2,3,10,9,12,3,11,6,3,6,5,5,4,2,5,5,15,5,18,11,5,0,4,5,4,10,4,7,5,2,4,5,5,6,2,3,11,2,4,23,10,3,8,3,5,3,22,0,6,12,7,7,8,4,7,2,5,14,2,21,8,5,7,7,5,7,9
"-91.6085199004976 x -430.408768656717",5,3,3,5,4,14,5,4,8,1,8,1,3,1,8,9,2,5,0,1,1,2,3,2,1,2,5,8,8,10,1,7,2,26,6,7,15,1,3,13,6,6,15,1,1,5,16,4,2,3,3,5,6,9,1,4,2,6,9,3,4,3,2,5,7,5,4,4,2,5,3,7,50,7,3,2,9,6,3,7,4,1,3,1,5,0,3,4,4,18,3,17,12,4,3,1,3,3,3,3,5,4,1,2,0,5,3,7,5,14,2,5,33,16,7,2,2,2,9,16,1,7,6,3,4,4,9,6,1,4,11,8,9,9,4,6,4,4,5,6
"-89.773554404145 x -401.281689119172",2,11,12,4,6,10,4,15,7,4,9,2,7,2,4,4,1,3,3,2,2,6,4,1,0,0,10,5,8,15,1,4,1,1,1,3,6,5,18,17,3,4,10,3,0,3,22,1,3,7,4,13,4,13,6,13,3,5,9,3,5,6,7,2,4,6,9,6,3,6,17,9,72,4,5,6,17,7,10,13,8,3,3,3,9,2,2,6,1,16,5,10,9,8,2,9,7,3,6,4,4,6,3,4,5,8,6,8,2,13,4,2,27,12,5,5,4,21,4,17,2,10,5,5,11,6,2,5,3,4,13,4,11,2,6,9,6,6,9,7
"-74.7931787234042 x -381.373801418439",9,7,15,2,8,13,11,7,24,8,16,5,12,10,6,5,3,2,4,2,0,5,1,3,4,6,10,6,6,23,5,4,7,36,8,10,33,4,12,31,8,3,15,7,4,3,16,3,12,7,5,10,0,14,6,11,5,9,14,3,15,6,10,7,1,7,6,4,7,13,15,20,80,6,4,9,24,18,7,14,7,1,12,2,10,5,5,10,5,52,6,30,18,8,5,12,3,7,10,9,2,4,7,4,5,6,7,7,2,20,1,9,25,43,9,10,2,14,5,37,3,8,20,4,5,4,2,10,4,9,10,10,12,8,9,7,4,6,12,16
"-73.477051948052 x -333.391074380166",4,10,8,4,4,13,5,4,12,0,13,6,2,3,4,1,1,4,4,2,2,6,5,4,3,4,12,0,3,8,1,4,1,2,0,9,10,5,8,11,4,2,8,7,1,2,13,2,5,3,3,15,2,13,6,8,4,9,4,4,3,7,7,8,6,0,5,4,3,3,9,12,40,8,4,10,5,11,6,17,7,4,4,2,6,3,0,13,1,14,3,16,5,8,3,5,6,4,5,8,4,2,5,5,3,5,1,14,0,6,4,6,22,11,0,8,4,4,4,15,2,4,11,6,2,6,2,8,3,5,12,6,12,4,5,6,5,5,11,7
"-66.0387079741379 x -359.656971982758",8,4,10,4,1,11,6,5,14,4,4,4,8,2,3,4,5,2,1,2,0,1,3,3,1,2,7,9,4,17,1,3,1,6,4,9,7,2,17,14,6,3,10,2,4,10,12,2,6,8,7,18,4,15,3,12,2,3,4,5,4,4,8,1,4,3,10,4,5,9,7,14,44,9,4,14,10,9,4,10,4,3,6,1,8,4,5,5,6,23,4,8,15,7,6,4,3,8,7,2,2,3,5,4,3,5,5,6,1,14,5,7,20,21,6,5,5,12,6,25,2,4,6,1,3,5,5,4,4,4,13,4,12,1,9,7,7,4,9,9
"-64.3533545042124 x -416.905767984446",15,11,7,9,8,14,8,4,12,3,24,3,9,5,9,14,2,5,5,2,2,0,9,5,1,4,8,8,10,24,2,5,7,79,10,18,47,6,7,31,1,12,11,8,3,0,17,11,6,3,7,21,5,13,4,12,5,9,10,2,20,4,4,12,10,3,9,8,11,12,6,10,103,8,6,8,13,9,8,13,9,3,8,3,15,6,7,17,12,36,10,34,12,9,15,8,5,4,8,2,3,4,5,0,4,9,4,9,3,22,9,10,31,32,10,6,5,9,4,66,3,10,17,2,8,9,5,10,3,6,22,6,20,7,6,9,7,4,16,16
"-55.1821810954064 x -314.151934628975",4,19,15,8,6,18,8,6,16,8,5,1,7,5,2,6,0,6,1,2,4,1,7,1,2,2,14,7,6,13,0,3,3,10,5,8,10,4,11,13,5,7,18,9,4,3,18,5,6,4,15,20,7,17,6,16,7,4,6,4,7,14,3,9,7,4,8,5,0,11,11,11,64,4,4,9,16,4,11,15,5,2,8,8,16,5,5,10,1,19,6,16,10,6,2,5,3,1,11,4,1,8,2,3,3,4,6,11,3,10,2,5,36,25,6,9,7,5,4,33,1,6,11,4,7,7,2,15,5,13,13,7,7,4,9,3,1,7,9,10
"-46.1526347095872 x -429.860314905528",8,6,24,6,4,14,7,1,28,5,9,4,12,3,6,10,5,7,5,4,6,7,5,4,4,1,5,6,11,23,10,8,5,25,8,12,17,6,11,25,13,3,13,4,3,6,19,8,2,11,6,11,8,8,9,12,2,9,9,5,16,6,6,4,9,10,8,8,4,11,7,10,101,7,4,8,30,5,18,9,9,6,8,11,12,6,9,18,4,38,11,17,23,13,7,5,2,5,9,6,7,5,4,2,10,4,8,6,4,20,6,5,37,30,10,10,6,10,7,31,2,11,17,7,4,8,7,13,5,9,12,4,17,3,10,8,10,9,13,10
"-45.159946768061 x -348.101863117871",3,6,5,6,6,13,2,5,9,4,11,7,1,5,2,8,0,2,2,2,0,2,3,3,1,4,5,6,6,16,1,2,4,5,4,6,4,2,9,12,2,4,7,7,0,3,26,5,7,4,3,12,4,16,4,6,6,4,3,4,9,1,4,7,2,3,6,2,3,6,12,3,35,2,5,3,8,8,8,7,8,4,5,1,4,4,1,10,6,17,8,18,6,12,5,5,5,1,4,5,0,1,2,1,4,4,5,6,0,5,2,8,10,18,4,2,3,4,2,24,2,6,8,5,5,7,5,4,1,3,6,2,14,3,8,5,2,3,4,7
"-38.7946737642585 x -297.128577946768",13,14,10,3,3,17,14,8,7,7,13,1,12,5,4,5,3,7,1,7,0,15,9,7,4,7,10,8,11,9,2,5,4,8,5,7,12,10,29,13,10,9,9,4,3,10,18,0,8,12,7,15,7,25,2,10,9,3,18,8,14,5,8,8,7,6,13,5,4,17,35,14,113,8,2,8,14,7,4,6,13,6,4,3,9,7,5,6,8,26,1,7,8,13,5,7,2,8,10,1,4,9,9,4,6,8,4,2,3,21,5,9,17,13,7,10,2,27,4,25,2,5,18,4,5,12,6,4,3,9,21,1,17,3,9,9,6,8,10,11
"-32.6944169788519 x -385.906205438066",19,11,16,8,9,10,14,6,18,8,16,3,8,7,6,7,4,3,4,1,3,9,9,5,2,7,7,8,10,33,4,6,9,53,10,12,29,5,29,27,12,1,11,8,7,2,20,15,5,9,7,19,8,19,14,15,5,8,13,8,10,5,9,4,16,3,6,8,4,12,9,17,81,17,3,12,25,8,7,15,8,7,7,7,14,5,7,14,10,45,4,34,13,10,8,12,10,5,8,5,4,9,4,0,4,11,11,8,8,17,11,19,42,47,8,9,6,19,8,49,7,10,16,11,5,9,5,11,1,8,20,4,19,5,9,8,4,7,23,14
"-19.7203906937799 x -440.835873205741",5,3,8,1,6,7,6,5,7,5,7,3,3,3,7,5,2,4,2,3,4,1,4,4,3,6,8,3,6,16,4,3,5,34,3,6,17,5,11,14,8,1,3,4,4,6,7,4,9,8,3,15,0,13,2,6,6,7,7,3,4,2,2,2,7,4,1,3,5,7,9,7,34,8,1,5,13,4,4,5,3,3,6,1,3,3,4,2,3,26,4,14,6,15,5,9,3,3,5,2,1,2,1,2,1,0,3,1,1,10,0,5,24,18,5,4,4,16,3,16,0,8,11,2,6,7,3,6,4,4,7,3,8,2,3,8,2,1,14,8
"-19.6162642144556 x -313.273504517356",12,24,42,11,9,29,15,21,16,11,14,10,8,13,8,5,4,3,4,4,7,10,6,6,6,7,17,8,11,20,8,8,5,12,10,19,14,8,27,27,10,7,24,15,6,4,28,6,13,10,16,19,7,51,12,24,9,23,12,9,18,18,14,10,12,6,14,14,8,20,34,13,128,14,6,13,17,11,18,14,18,16,11,9,12,7,4,16,10,38,14,29,29,16,11,8,7,17,10,9,6,18,2,4,5,13,16,9,9,17,8,9,31,39,14,8,11,60,7,53,7,14,22,9,9,12,12,15,7,15,30,2,37,13,7,4,7,11,16,18
"-14.3571923922747 x -416.017424892704",4,10,13,5,4,9,7,6,18,4,17,3,8,4,4,3,0,3,3,1,4,3,6,6,1,3,6,7,5,16,3,9,6,28,7,11,16,6,13,17,8,4,6,3,5,3,7,5,3,2,6,21,8,15,4,4,5,7,9,4,10,7,6,3,5,5,15,4,5,11,8,11,49,13,4,7,25,7,11,9,4,2,3,3,11,5,5,7,8,41,3,22,12,10,12,3,6,1,10,2,5,3,9,5,1,5,5,6,2,14,6,5,32,27,4,4,5,16,5,39,4,11,10,9,3,2,5,15,8,8,17,4,15,8,5,3,3,5,8,11
"-10.0251616182266 x -378.309384236453",4,6,8,4,5,13,7,3,8,2,7,2,3,1,1,4,2,2,1,2,7,5,5,4,3,6,9,4,9,2,3,1,6,9,4,14,3,3,10,13,4,4,10,0,1,2,22,4,4,6,5,10,4,10,3,3,2,4,10,3,12,7,6,3,1,3,5,5,0,6,6,7,48,3,0,3,11,2,3,6,6,3,1,5,4,4,1,9,3,15,5,11,8,5,3,6,4,4,5,7,5,2,1,2,0,3,8,2,3,11,4,5,15,12,4,7,2,18,5,18,4,9,11,3,8,4,5,8,3,4,10,2,16,1,4,3,6,3,9,10
"-9.57816302582312 x -353.500180761782",5,17,15,7,6,23,9,4,15,5,11,2,4,9,4,4,4,7,2,2,2,7,6,6,3,4,15,5,14,21,5,9,3,5,4,11,11,10,23,29,17,5,11,9,0,5,37,5,9,3,8,16,10,24,10,14,5,13,11,9,13,7,8,10,7,5,9,10,7,11,13,14,119,17,8,15,17,10,9,11,13,3,6,4,14,8,6,22,6,24,3,22,17,10,7,10,11,8,14,10,3,2,4,6,5,5,7,14,2,11,12,12,36,31,11,8,3,6,7,44,5,18,13,5,10,13,7,21,1,10,21,6,24,7,9,8,3,9,10,13
"-0.710511720229555 x -326.309024390244",1,9,5,2,4,6,7,4,5,0,6,5,4,4,0,2,0,2,1,3,6,3,3,2,2,4,5,5,6,11,0,3,6,2,4,9,13,3,8,10,3,1,4,9,0,2,11,4,2,2,3,13,3,4,2,3,4,7,7,4,6,9,1,5,4,3,9,3,5,4,8,8,57,4,5,7,5,7,6,5,5,4,4,3,6,2,5,5,2,17,0,3,11,10,6,3,1,4,3,5,3,6,0,1,1,4,2,2,1,11,1,3,9,11,6,5,2,6,5,12,0,4,6,3,5,3,2,7,1,4,15,0,10,3,4,2,2,4,1,7
"-196.913456790124 x -279.535144032922",4,11,5,3,3,7,6,5,7,2,2,4,2,2,4,4,1,4,2,0,3,3,7,4,0,0,3,6,5,5,2,4,2,7,4,9,8,6,7,7,13,3,8,0,1,5,13,4,3,3,2,9,4,4,4,6,1,2,10,5,2,11,2,6,2,2,8,4,1,7,5,6,53,7,4,1,13,3,2,3,9,4,7,4,2,4,6,8,2,7,3,13,8,7,3,2,7,4,5,4,6,8,0,2,2,4,5,10,2,7,5,8,11,5,5,6,6,5,3,14,2,6,9,3,3,2,6,7,1,3,6,2,11,4,5,2,6,3,9,4
